query,2025.04,2025.05,2025.06,2025.07,2025.08,2025.09,2025.10,2025.11,2025.12,2026.01,total
KT,0,0,0,0,0,7900,3688,4442,5018,2859,23907
LG U+,0,0,0,0,478,557,534,567,645,0,2781
LG유플러스,0,0,0,0,1400,1787,1428,1482,1435,0,7532
SKT,4454,5696,1473,2101,1788,0,0,0,0,0,15512
SK텔레콤,5361,6474,2384,2993,2810,0,0,0,0,0,20022
